,oa,f_1,f_2,f_3,f_4,f_5,f_6
0,0.203960546,0.094701585,0.175805148,0.363996051,0.141647578,0.216525358,0.05176319
1,0.380289087,0.134313412,0.358510897,0.714658269,0.251386395,0.273029879,0.048141246
2,0.53287907,0.217882824,0.618641779,0.848636594,0.467737732,0.354700783,0.032397375
3,0.618214554,0.377176222,0.709218403,0.929736566,0.620640825,0.399271628,0.030664128
4,0.705344505,0.667426256,0.774147284,0.945885215,0.673765345,0.493464964,0.04658517
5,0.750928039,0.73659164,0.782385516,0.947389613,0.755775359,0.558516035,0.168448849
6,0.787408364,0.770933368,0.815284554,0.957265009,0.786035261,0.633109661,0.356970708
7,0.818876887,0.791090003,0.858595959,0.960573809,0.816272773,0.650190169,0.594203866
8,0.835496277,0.823470244,0.865380821,0.964405643,0.839426053,0.657741253,0.692052283
9,0.845537131,0.876140995,0.863089319,0.967474758,0.844739209,0.664703126,0.712763378
10,0.836528757,0.875361928,0.873326057,0.956990354,0.831334144,0.644781847,0.679194191
11,0.851175329,0.871822609,0.878323445,0.969618091,0.858139515,0.663187093,0.75783765
12,0.862659711,0.882898222,0.883340645,0.965898223,0.854618461,0.696897481,0.804399199
13,0.881298582,0.912793271,0.889149272,0.968524512,0.875291491,0.73395859,0.816958405
14,0.876087386,0.914033997,0.895768445,0.972339366,0.864569592,0.718395298,0.780911522
15,0.87465141,0.902775247,0.894774459,0.975293125,0.877066751,0.700606391,0.804786265
16,0.89677896,0.93241334,0.91155123,0.977213354,0.887524484,0.757972709,0.811625753
17,0.882529694,0.908304044,0.917556577,0.975679375,0.862763819,0.724531905,0.801446022
18,0.885263923,0.917834691,0.891028585,0.974673178,0.883535146,0.729164193,0.837572469
19,0.902011189,0.92620924,0.922343843,0.981313928,0.891004668,0.752401384,0.865157893
20,0.898541955,0.924939339,0.924778754,0.975953799,0.89663156,0.74565532,0.845889082
21,0.890201161,0.909859572,0.915247004,0.979072055,0.873214311,0.728684566,0.859918643
22,0.896779079,0.931724113,0.913239319,0.97889263,0.883599808,0.74160706,0.856522495
23,0.899600493,0.928969274,0.922720486,0.982541474,0.887819293,0.744208209,0.853464676
24,0.903692564,0.923202968,0.934071144,0.984695762,0.889479639,0.75027022,0.854306367
25,0.887779831,0.928888132,0.91034961,0.974748095,0.871252766,0.724165159,0.828442478
26,0.905098522,0.940474871,0.922794136,0.984736448,0.892447242,0.752964124,0.854771675
27,0.900619466,0.930650151,0.932304885,0.981048035,0.882605965,0.740435185,0.849705506
28,0.897543071,0.913412682,0.921105743,0.983792965,0.890566059,0.738544019,0.866465555
29,0.90540768,0.939032407,0.920698514,0.981508355,0.884957283,0.75138066,0.882635174
30,0.902412697,0.943970239,0.916237968,0.977141317,0.879305618,0.763278404,0.847298048
31,0.885573495,0.89389368,0.924059061,0.980148898,0.872784669,0.710891458,0.859686523
32,0.900809453,0.919828775,0.926580966,0.983647889,0.886675599,0.744437596,0.867307297
33,0.910866027,0.959740846,0.921241483,0.98453258,0.884878263,0.768714201,0.86815345
34,0.90458502,0.938762759,0.918139318,0.984686799,0.896471578,0.751465355,0.868514048
35,0.897817144,0.914573342,0.919199349,0.985063308,0.911541171,0.736278712,0.846443486
36,0.91543415,0.963020809,0.918932334,0.979113273,0.906997639,0.775921209,0.885641971
37,0.908780721,0.94793554,0.922945841,0.981197008,0.898321049,0.762794499,0.859126906
38,0.895374031,0.915556736,0.919546033,0.979734792,0.885813168,0.744367143,0.843676961
39,0.899979597,0.924919471,0.91849175,0.980383603,0.886512366,0.749031475,0.863539645
40,0.904499736,0.929713653,0.93204071,0.980491054,0.885804156,0.757626571,0.857746008
41,0.892636076,0.902767541,0.924011116,0.981516672,0.872735006,0.742449165,0.837489343
42,0.888732688,0.936263525,0.914522934,0.97790285,0.859710372,0.721592304,0.813121375
43,0.897030039,0.935591562,0.912680628,0.977730095,0.887369743,0.742609688,0.83599301
44,0.898151357,0.938679031,0.91003501,0.984263263,0.868087729,0.754890012,0.833384908
45,0.891386679,0.904280828,0.917443561,0.985205,0.871104522,0.732155243,0.855353479
46,0.909780452,0.952247208,0.914031413,0.98000362,0.893745068,0.778161777,0.864358114
47,0.90047912,0.947470472,0.90676902,0.981533692,0.87633979,0.758890866,0.841795672
48,0.889317859,0.914566025,0.918402046,0.982835526,0.870291028,0.717813208,0.843900683
49,0.902510964,0.943803304,0.923114197,0.979160051,0.882427245,0.748068286,0.851031282
50,0.903764647,0.923884301,0.922910108,0.98442452,0.907714208,0.741496472,0.870965344
51,0.898958145,0.939301988,0.912747209,0.9843257,0.899043044,0.736161221,0.838214536
52,0.901546996,0.929810058,0.92533229,0.975711792,0.819986693,0.803609447,0.866543095
53,0.894795586,0.937429427,0.903951747,0.977961359,0.821168856,0.779386541,0.839356901
54,0.909885339,0.946586166,0.923831603,0.979788936,0.836980165,0.819017515,0.862144555
55,0.90017493,0.93584722,0.912238417,0.978007334,0.842875626,0.784325635,0.848430565
56,0.897194581,0.924771151,0.915645871,0.982124407,0.88542569,0.73917341,0.850000668
57,0.894363934,0.932345399,0.914318711,0.980404313,0.8813924,0.719717309,0.86023969
58,0.90427329,0.93557971,0.926691551,0.984798847,0.885675559,0.754880067,0.848196382
59,0.902014884,0.947335985,0.919041679,0.984590675,0.871459232,0.740664452,0.861853346
60,0.911558477,0.956417164,0.892050345,0.986854105,0.902053307,0.790801814,0.869851991
61,0.899320065,0.92467446,0.885682248,0.98527168,0.884808212,0.779264943,0.865568611
62,0.897890641,0.931172232,0.847410536,0.984256702,0.8912951,0.807119376,0.873539412
63,0.902959226,0.939738472,0.883558157,0.986317664,0.908418536,0.77319424,0.841054902
64,0.89342891,0.932907724,0.909545716,0.980804543,0.882286175,0.730058369,0.8330596
65,0.898206976,0.944212269,0.904279871,0.983717963,0.882290218,0.745565641,0.840348816
66,0.890083605,0.927790911,0.912309119,0.987221752,0.799253306,0.76834541,0.829638106
67,0.889972604,0.907152766,0.917515711,0.979840101,0.881696261,0.720811176,0.851330771
68,0.904681424,0.931942025,0.931085759,0.989499267,0.882116602,0.745210195,0.866171434
69,0.898752479,0.937446704,0.92227046,0.985696745,0.876614081,0.725663597,0.871939216
70,0.89092832,0.928955276,0.911025466,0.983168452,0.866665177,0.719704374,0.860485663
71,0.889971858,0.910180062,0.922095456,0.986609768,0.871833161,0.711214299,0.860439855
72,0.893742968,0.916527274,0.902086595,0.980754539,0.905013786,0.737064366,0.851009888
73,0.906089596,0.943689544,0.921432861,0.985656203,0.889680013,0.756974095,0.848298451
74,0.889064607,0.919264893,0.908682999,0.97440052,0.889309594,0.739866107,0.79462903
75,0.912837359,0.955424166,0.924588855,0.983839933,0.893793241,0.776691533,0.856312043
76,0.914588753,0.943976461,0.937385154,0.987280738,0.900010618,0.771864421,0.862824271
77,0.907480449,0.941351632,0.917776352,0.986117393,0.89317784,0.76283848,0.86894036
78,0.90615948,0.944913368,0.936606756,0.984471495,0.860887264,0.748435996,0.884952418
79,0.897287054,0.923186778,0.912887012,0.985780468,0.89622694,0.740338382,0.841138104
80,0.901698638,0.943621022,0.913912902,0.979374307,0.890685588,0.746290995,0.858766458
81,0.913567135,0.945696525,0.922037208,0.9834776,0.908092881,0.768060463,0.897566881
82,0.918168373,0.946060537,0.932416007,0.985273765,0.906125464,0.78040195,0.898138631
83,0.919709752,0.962649215,0.925133339,0.99093394,0.902622483,0.777496177,0.893313906
84,0.909944195,0.953817827,0.918379213,0.986315416,0.897482317,0.762466993,0.863980559
85,0.910483688,0.941839824,0.929259585,0.987143935,0.902613781,0.759232603,0.873576617
86,0.903807646,0.946279461,0.919937965,0.987413501,0.864626821,0.762422674,0.847607169
87,0.899006142,0.928853642,0.909423996,0.988030727,0.827503614,0.800956997,0.837094487
88,0.887866895,0.92420387,0.887217193,0.986005637,0.8159061,0.805927567,0.784644779
89,0.899863587,0.932803138,0.923484116,0.976552011,0.84004,0.784250917,0.838027951
90,0.896279472,0.911806434,0.918931363,0.97976354,0.886880023,0.752405068,0.845239537
91,0.910674815,0.958384537,0.919859747,0.980628251,0.894126188,0.78687888,0.826451057
92,0.912695834,0.944602062,0.910725972,0.985621693,0.89390207,0.798868747,0.862058206
93,0.897598197,0.91446452,0.910611679,0.981924939,0.886503372,0.759558898,0.843478115
94,0.886398133,0.920714217,0.886952705,0.974087558,0.87322054,0.751573935,0.811170403
95,0.904817626,0.936644979,0.909923479,0.980281799,0.899789365,0.763121991,0.868528419
96,0.901254848,0.921521547,0.932137458,0.987544687,0.881013282,0.743300933,0.852724652
97,0.901377042,0.940172144,0.917369455,0.983701169,0.884191099,0.742821236,0.859639032
98,0.906071909,0.937130277,0.930514052,0.985324171,0.895209826,0.761965431,0.827769549
99,0.898163989,0.9212676,0.927766958,0.989588318,0.871827516,0.726422281,0.883295195
100,0.913240068,0.955521375,0.903409379,0.9842902,0.91294177,0.784026272,0.866147846
101,0.900193368,0.938201507,0.905569504,0.984376202,0.878773535,0.754411782,0.858116596
102,0.90865898,0.948439009,0.920557906,0.983373142,0.891667207,0.757289554,0.88350449
103,0.909976333,0.946222745,0.924048658,0.987541239,0.878000964,0.768228706,0.879467482
104,0.911506595,0.93874725,0.92784702,0.989197148,0.891366383,0.764981408,0.883221241
105,0.921310503,0.965765686,0.930969062,0.988369122,0.90713657,0.783701637,0.873162399
106,0.896776076,0.936809687,0.908759999,0.988055616,0.875807094,0.738673998,0.851082336
107,0.908593439,0.964732431,0.926850296,0.989227392,0.87910507,0.747740528,0.846366884
108,0.921907714,0.968877777,0.92908449,0.98704768,0.912158932,0.778024224,0.886740892
109,0.927634528,0.976360588,0.939301588,0.99004059,0.902622607,0.803041628,0.866903275
110,0.91942579,0.953703352,0.930684854,0.987771075,0.916923247,0.775647575,0.885556482
111,0.906515998,0.920048008,0.936101094,0.985251761,0.903391535,0.750339702,0.881098398
112,0.919855228,0.94378313,0.941622933,0.99135975,0.925456029,0.773368174,0.863542065
113,0.917004803,0.946480323,0.943833127,0.990033471,0.905373982,0.768665145,0.864382
114,0.915210238,0.928898333,0.945216502,0.98889198,0.899969395,0.772728581,0.875048707
115,0.917904851,0.944320569,0.946264891,0.987531412,0.903659768,0.77460729,0.867399325
116,0.910744395,0.934287002,0.932646492,0.99108536,0.891423835,0.760782917,0.882105416
117,0.917536792,0.948057801,0.937300977,0.991278025,0.877664638,0.779498689,0.901815589
118,0.919159877,0.942687066,0.940166274,0.986422348,0.894662762,0.79135129,0.892190292
119,0.908198783,0.935119471,0.927745194,0.988022647,0.90548074,0.751162291,0.875101571
120,0.915445487,0.961318168,0.924819902,0.985763914,0.9022252,0.776539546,0.862373227
121,0.927824447,0.959050374,0.949567021,0.988398982,0.904712594,0.799407365,0.896560156
122,0.917573327,0.921278002,0.944929422,0.99152959,0.918475178,0.76824714,0.909124353
123,0.924229548,0.947970438,0.947823908,0.993102565,0.906963454,0.784669414,0.891277663
124,0.923914168,0.948351502,0.950473657,0.991987618,0.914117869,0.782241055,0.877704254
125,0.929517449,0.957615208,0.946912087,0.993608662,0.912328805,0.792374735,0.909864753
126,0.922440808,0.950324155,0.937231787,0.988538939,0.924670505,0.782452767,0.885725119
127,0.930818569,0.958602341,0.945152983,0.982545897,0.92174344,0.811992447,0.907854893
128,0.924528451,0.963213836,0.940482334,0.987699596,0.911641359,0.782340144,0.891222232
129,0.923554672,0.947719967,0.942543855,0.990497639,0.915876031,0.778892387,0.909520678
130,0.913400322,0.926073182,0.940773835,0.98988281,0.867005632,0.783650798,0.90042686
131,0.897678041,0.933032141,0.911997797,0.98435224,0.789637703,0.833381244,0.838337781
132,0.923035635,0.961381428,0.930549718,0.991517256,0.832880186,0.862326521,0.880095808
133,0.921124879,0.951697793,0.94202588,0.992671016,0.827425525,0.856029014,0.863809108
134,0.924135054,0.949140914,0.941052842,0.990551661,0.830769436,0.870536395,0.891454019
135,0.928513674,0.953320528,0.939240054,0.989326403,0.840424356,0.883817668,0.903193129
136,0.922153609,0.941269094,0.940523542,0.990297152,0.827147848,0.878397348,0.883359513
137,0.919357784,0.929185959,0.945179716,0.985162539,0.827618065,0.868183295,0.894123116
138,0.919172874,0.954358604,0.928591877,0.987761041,0.831478881,0.858873377,0.86766638
139,0.923672211,0.948231267,0.946272237,0.992352935,0.817819946,0.864268948,0.902107601
140,0.920320478,0.943008113,0.942127484,0.990949328,0.810105189,0.881990922,0.88585076
141,0.918555846,0.937781474,0.950404737,0.990141516,0.841964474,0.82109307,0.881460171
142,0.932480962,0.970292962,0.945037648,0.992104945,0.899593592,0.803074621,0.928350983
143,0.926269561,0.946951105,0.94698161,0.988895881,0.915442057,0.78855081,0.912702844
144,0.927690565,0.967121463,0.946221366,0.985614892,0.900260046,0.796327519,0.905509347
145,0.916384303,0.929738999,0.938719206,0.989368656,0.926071981,0.764159535,0.89262634
146,0.914377864,0.937952403,0.938256802,0.985966699,0.891056364,0.774088083,0.887809492
147,0.924795466,0.947970683,0.945956209,0.986570338,0.903813158,0.796038729,0.904814241
148,0.929711115,0.964260976,0.951176551,0.988804717,0.901635202,0.795742917,0.911333028
149,0.927302991,0.943416043,0.954421545,0.991514732,0.913875692,0.789922401,0.90926922
150,0.936388377,0.970793866,0.946285001,0.99453917,0.925588575,0.80948412,0.910069417
151,0.930337852,0.951339917,0.946502759,0.99366655,0.92217985,0.80235477,0.902041589
152,0.927331072,0.93773647,0.949608092,0.992178577,0.915653106,0.79725394,0.908167668
153,0.924148302,0.949613555,0.943054754,0.989628841,0.912190992,0.792976653,0.88557332
154,0.91809201,0.944945476,0.941886145,0.992180199,0.894898976,0.767369219,0.899712461
155,0.928225788,0.963126163,0.946536797,0.992846371,0.906830017,0.789613516,0.908016453
156,0.926099864,0.941527775,0.950592085,0.993130655,0.911828339,0.78557931,0.920430573
157,0.93190469,0.965635247,0.950950417,0.991817876,0.900060157,0.812069207,0.90005584
158,0.940721477,0.971132806,0.955338421,0.993466217,0.929279172,0.822071179,0.911168653
159,0.938242873,0.950996903,0.956252336,0.994863972,0.937529485,0.814788756,0.920505436
160,0.931841946,0.955794071,0.943561881,0.993472422,0.918049204,0.805201096,0.919957598
161,0.918856191,0.931117586,0.95057156,0.977155994,0.89902601,0.785802706,0.911517728
162,0.926528919,0.961376452,0.949359019,0.986832624,0.909484824,0.791150218,0.89092964
163,0.920703226,0.942443017,0.944445381,0.99199938,0.908896562,0.771480779,0.909017027
164,0.921677213,0.923596777,0.950027275,0.993767415,0.923575737,0.773918238,0.907187045
165,0.939792899,0.96125073,0.954623753,0.991026705,0.92304244,0.819495277,0.943385312
166,0.932996291,0.942622751,0.949241007,0.993649907,0.932360515,0.798569194,0.934385461
167,0.937464977,0.965505717,0.952537107,0.994849222,0.919500636,0.810517469,0.926603757
168,0.929905356,0.964473645,0.945974456,0.991733986,0.904532081,0.795668111,0.918841814
169,0.926842771,0.930876276,0.957692105,0.994527683,0.925913488,0.782992403,0.910395144
170,0.930875222,0.961089177,0.952656967,0.994462842,0.895079739,0.802622013,0.910387709
171,0.928210839,0.948891067,0.945186217,0.991569552,0.917162328,0.798009049,0.907582718
172,0.926767751,0.949813741,0.950409618,0.99114672,0.904265133,0.79287182,0.905502766
173,0.940426426,0.975188534,0.955502078,0.994175023,0.913063258,0.82132485,0.921107152
174,0.925186463,0.944736059,0.951413924,0.9929453,0.909646088,0.786078564,0.898560189
175,0.92213562,0.954087297,0.942316573,0.989532879,0.912031066,0.782838612,0.874905482
176,0.928042203,0.956851528,0.951180237,0.993977,0.916116073,0.788328927,0.890360383
177,0.929447846,0.952019614,0.948515769,0.993005946,0.932100147,0.796714,0.883644735
178,0.931257563,0.955400831,0.950629974,0.991298049,0.912097801,0.800621161,0.921328372
179,0.933247856,0.966699552,0.947303345,0.99102983,0.906927621,0.830617978,0.87859065
180,0.920013636,0.942510079,0.94499709,0.987984299,0.901184325,0.778298718,0.896295884
181,0.918583136,0.948058497,0.931427226,0.990984601,0.910489171,0.775399221,0.892741636
182,0.923801636,0.949312074,0.941547811,0.994089971,0.911968183,0.777561102,0.91202447
183,0.932407892,0.95314129,0.957437616,0.992804811,0.912970073,0.797313099,0.925354592
184,0.923220413,0.945068969,0.944807098,0.99069737,0.909013102,0.782538969,0.909967346
185,0.917977529,0.942224594,0.932339638,0.989034055,0.927541677,0.783572755,0.862047346
186,0.92968069,0.958494174,0.954522869,0.993313832,0.911663583,0.796120509,0.891459138
187,0.923041239,0.949561859,0.930033885,0.992729721,0.896724782,0.793531143,0.913284585
188,0.929732071,0.956515461,0.884213294,0.988859586,0.922602465,0.877686684,0.921497512
189,0.923235229,0.939527794,0.874016941,0.991396381,0.910430038,0.884077548,0.913839871
190,0.920226706,0.950987309,0.866663583,0.991158048,0.904476773,0.883156033,0.886052282
191,0.922945401,0.951874242,0.864541742,0.991527921,0.906267996,0.892172639,0.909934907
192,0.924090346,0.957845002,0.902141305,0.991116618,0.902928181,0.841203707,0.88668718
193,0.923972484,0.953025774,0.943999921,0.991675967,0.911391908,0.7823533,0.892449082
194,0.92897284,0.958069276,0.948487443,0.994650539,0.912031251,0.785422693,0.915927643
195,0.932627339,0.966877612,0.953525429,0.990465368,0.919751952,0.799609737,0.899335664
196,0.937364014,0.958342431,0.955364127,0.993204483,0.925790842,0.811012229,0.93233927
197,0.92584511,0.938654,0.950233662,0.996116247,0.919803008,0.780066148,0.915468751
198,0.935405048,0.959625181,0.948839713,0.993806094,0.912534831,0.80422369,0.951416727
199,0.928709307,0.955630779,0.932110376,0.992708407,0.903176494,0.821718072,0.900631987
